date,Open,High,Low,price_usd,volume_usd,crypto,source
25-02-2018,9694.51,9847.0,9274.8,9590.0,28373.517586,BTC,Binance CSV
26-02-2018,9590.0,10444.32,9350.0,10324.0,34878.292756,BTC,Binance CSV
27-02-2018,10321.0,10870.0,10121.0,10569.04,30705.385123,BTC,Binance CSV
28-02-2018,10584.33,11098.0,10300.0,10326.76,30800.983782,BTC,Binance CSV
01-03-2018,10325.64,11060.41,10240.0,10920.0,25092.55393,BTC,Binance CSV
02-03-2018,10923.36,11200.0,10770.0,11039.0,23910.71009,BTC,Binance CSV
03-03-2018,11038.99,11544.0,11015.01,11464.48,21287.15328,BTC,Binance CSV
04-03-2018,11464.47,11565.0,11050.02,11515.0,17295.918653,BTC,Binance CSV
05-03-2018,11515.0,11710.0,11415.01,11454.0,15144.231063,BTC,Binance CSV
06-03-2018,11455.0,11455.0,10555.48,10716.48,29515.572363,BTC,Binance CSV
07-03-2018,10716.48,10899.0,9389.31,9910.0,50647.67108,BTC,Binance CSV
08-03-2018,9910.0,10099.0,9060.0,9271.64,41109.473226,BTC,Binance CSV
09-03-2018,9267.07,9410.0,8329.0,9227.0,64112.291407,BTC,Binance CSV
10-03-2018,9230.0,9490.0,8667.07,8770.22,37180.012857,BTC,Binance CSV
11-03-2018,8770.22,9740.0,8450.0,9533.57,44325.973386,BTC,Binance CSV
12-03-2018,9533.57,9888.88,8780.0,9131.34,42230.77793,BTC,Binance CSV
13-03-2018,9131.34,9474.0,8823.0,9150.0,40191.409358,BTC,Binance CSV
14-03-2018,9151.92,9333.78,7900.28,8170.0,49708.094108,BTC,Binance CSV
15-03-2018,8184.01,8430.0,7650.0,8240.98,52291.022277,BTC,Binance CSV
16-03-2018,8240.98,8611.64,7900.0,8260.0,38815.409893,BTC,Binance CSV
17-03-2018,8260.0,8348.62,7721.99,7824.8,33110.206329,BTC,Binance CSV
18-03-2018,7824.01,8317.4,7322.0,8189.99,59488.231711,BTC,Binance CSV
19-03-2018,8189.0,8705.23,8088.4,8600.0,55297.084942,BTC,Binance CSV
20-03-2018,8595.01,9050.0,8280.0,8909.98,44865.105835,BTC,Binance CSV
21-03-2018,8909.96,9177.01,8750.6,8885.0,39972.405371,BTC,Binance CSV
22-03-2018,8884.82,9100.0,8465.1,8722.9,40617.556809,BTC,Binance CSV
23-03-2018,8720.0,8909.0,8269.0,8898.03,39991.007666,BTC,Binance CSV
